confirmed,memo_name,date,mm1,mm2,river,location_description,memo
Y,SEC LMR BNM 0043-22,5/23/2022 18:51,769,,LMR,,A. THE COAST GUARD RECIEVED A REPORT OF SHOALING IVO MM 769 LMR. ALL MARINERS ARE ADVISED TO TRANSIT WITH CAUTION.  CANCEL AT//060400Z JUN 22//  BT
Y,SEC LMR BNM 0045-22,6/12/2022 8:04,769.5,,LMR,,THE COAST GUARD RECIEVED A REPORT OF SHOALING IVO MM 769.5 LMR. ALL MARINERS ARE REQUESTED TO TRANSIT THE AREA WITH CAUTION.  BT
Y,SEC LMR BNM 0047-22,6/21/2022 12:36,545,,LMR,,A. THE CG RECEIVED A REPORT OF SHOALING IN THE FOLLOWING AREAS ALONG THE LOWER MISSISSIPPI RIVER: 1. MM 769.5 2. MM 545 B. ALL MARINERS ARE ADVISED TO TRANSIT THESE AREAS WITH CAUTION.  CANCEL AT//051613Z JUL 22//  BT
Y,SEC LMR BNM 0049-22,6/24/2022 11:12,857,858,LMR,,A. THE CG RCVD A RPT OF SHOALING IVO MM 857-858 LMR. ALL MARINERS ARE ADVISED TO TRANSIT THE AREA WITH CAUTION. CANCEL AT//081448Z JUL 22//
Y,SEC LMR BNM 0054-22,7/5/2022 17:15,769,,LMR,Randolph Bluff,"1. THE US COAST GUARD CAPTAIN OF THE PORT LOWER MISSISSIPPI RIVER IS ISSUING A SAFETY ADVISORY FOR SHOALING ON THE LOWER MISSISSIPPI RIVER AT RANDOLPH BLUFF, MM 769 LMR.2. MARINERS SHOULD TRANSIT WITH CAUTION, AND ARE ADVISED THAT US ARMY CORPS OF ENGINEERS MAINTAINED DEPTH AND WIDTH MAY NOT BE AVAILABLE ON ALL BUOY LINES.3. MARINERS ARE REQUESTED TO CONTACT WESTERN RIVERS COMMAND CENTER VIA MARINE VHF-FM CH-16 OR VIA TELEPHONE AT 866-777-2784 TO REPORT SHOALING, HAZARDOUS CONDITIONS, OR MISSING ATON.CANCEL AT//192021Z JUL 22//BT"
Y,SEC LMR BNM 0053-22,7/5/2022 17:16,739,,LMR,Lucy Woodstock,"THE US COAST GUARD CAPTAIN OF THE PORT LOWER MISSISSIPPI RIVER IS ISSUING A SAFETY ADVISORY FOR SHOALING ON THE LOWER MISSISSIPPI RIVER AT LUCY WOODSTOCK, IVO MM 739 LMR. MARINERS SHOULD TRANSIT WITH CAUTION, AND ARE ADVISED THAT US ARMY CORPS OF ENGINEERS MAINTAINED DEPTH AND WIDTH MAY NOT BE AVAILABLE ON ALL BUOY LINES.BT"
Y,SEC LMR BNM 0081-22,9/6/2022 11:22,774,783,LMR,RDB/green buoy line,"1. THE US COAST GUARD CAPTAIN OF THE PORT LOWER MISSISSIPPI RIVER IS ISSUING A SAFETY ADVISORY FOR KNOWN SHOALING ALONG THE GREEN BOUY LINE ON THE LOWER MISSISSIPPI RIVER FROM MM 774 - 783. 2. MARINERS SHOULD TRANSIT WITH CAUTION, AND ARE ADVISED THAT US ARMY CORPS OF ENGINEERS MAINTAINED DEPTH AND WIDTH MAY NOT BE AVAILABLE ON ALL BUOY LINES. 3. MARINERS ARE REQUESTED TO CONTACT WESTERN RIVERS COMMAND CENTER VIA MARINE VHF-FM CH-16 OR VIA TELEPHONE AT 314-269-2332 TO REPORT SHOALING, HAZARDOUS CONDITIONS, OR MISSING ATON.  CANCEL AT//201503Z SEP 22//  BT"
Y,SEC LMR BNM 0083-22,9/7/2022 14:23,462.4,,LMR,"LDB, 8ft shoaling ","A. THE CG HAS RECEIVED A REPORT OF EIGHT FOOT SHOALING IVO MM 462.4 LMR LDB. MARINERS SHOULD TRANSIT WITH CAUTION, AND ARE ADIVSED THAT THE USACE MAINTAINED DEPTH AND WIDTH MAY NOT BE AVAILABLE ON ALL BUOY LINES. B. MARINERS ARE REQUESTED TO CONTACT CGWR TO REPORT SHOALING, HAZARDOUS CONDITIONS,  OR MISSING ATON.   BT"
Y,SEC LMR BNM 0087-22,9/8/2022 22:21,524.5,,LMR,RDB,"A. THERE IS A SAFETY ADVISORY FOR SHOALING IVO MM 524.5 LMR ALONG THE RDB AND MM 356 LMR ALONG THE LDB.1. MARINERS TRANSITING MM 356 LMR ARE ADVISED NOT TO TRANSIT ALONG THE RED BUOY LINE.2. MARINERS SHOULD TRANSIT WITH CAUTION, AND ARE ADVISED THAT US ARMY CORPS OF ENGINEERS MAINTAINED DEPTH AND WIDTH MAY NOT BE AVAILABLE ON ALL BUOY LINES.3. MARINERS ARE REQUESTED TO CONTACT WESTERN RIVERS COMMAND CENTER VIA MARINE VHF-FM CH-16 OR VIA TELEPHONE AT 866-777-2784 TO REPORT SHOALING, HAZARDOUS CONDITIONS, OR MISSING ATON.BT"
Y,SEC LMR BNM 0087-22,9/8/2022 22:21,356,,LMR,LDB,"A. THERE IS A SAFETY ADVISORY FOR SHOALING IVO MM 524.5 LMR ALONG THE RDB AND MM 356 LMR ALONG THE LDB.1. MARINERS TRANSITING MM 356 LMR ARE ADVISED NOT TO TRANSIT ALONG THE RED BUOY LINE.2. MARINERS SHOULD TRANSIT WITH CAUTION, AND ARE ADVISED THAT US ARMY CORPS OF ENGINEERS MAINTAINED DEPTH AND WIDTH MAY NOT BE AVAILABLE ON ALL BUOY LINES.3. MARINERS ARE REQUESTED TO CONTACT WESTERN RIVERS COMMAND CENTER VIA MARINE VHF-FM CH-16 OR VIA TELEPHONE AT 866-777-2784 TO REPORT SHOALING, HAZARDOUS CONDITIONS, OR MISSING ATON.BT"
Y,SEC LMR BNM 0091-22,9/12/2022 17:02,811,,LMR,,"SUBJ: SAFETY BROADCAST NOTICE TO MARINERS SEC LMR BNM 0091-22 MM 811 LMR A. THE CG HAS RECEIVED A REPORT OF SHOALING FROM MM 811 LMR B. MARINERS SHOULD TRANSIT WITH CAUTION, AND ARE ADVISED THAT USACE MAINTAINED DEPTH AND  WIDTH MAY NOT BE AVAILABLE ON ALL BUOY LINES. C. MARINERS ARE REQUESTED TO CONTACT WESTERN REPORT SHOALING, HAZARDOUS CONDITIONS,  OR MISSING ATON.   CANCEL AT//261708Z SEP 22//  BT"
Y,SEC LMR BNM 0098-22,9/15/2022 13:05,394.5,395.1,MM 395.1-394.5 LMR;LMR 400,MM 395.1-394.5 LMR,"A. COAST GUARD RECEIVED A REPORT OF SHOALING FROM MM 395.1-394.5 LMR 400 FT OFF OF THE LDB. B. MARINERS SHOULD TRANSIT WITH CAUTION, AND ARE ADVISED THAT US ARMY CORPS OF ENGINEERS MAINTAINED DEPTH AND WIDTH MAY NOT BE AVAILABLE ON ALL BUOY LINES.C. MARINERS ARE REQUESTED TO CONTACT WESTERN RIVERS COMMAND CENTER VIA CH-16 OR VIA TEL866-777-2784 TO REPORT SHOALING, HAZARDOUS CONDITIONS, OR MISSING ATON.BT"
Y,SEC LMR BNM 0104-22,9/22/2022 15:44,791.1,,LMR,12ft depth at sailing line,"A. THE CG CAPTAIN OF THE PORT LOWER MISSISSIPPI RIVER IS ISSUING A SAFETY ADVISORY FOR A CHANNEL DEPTH OF 12 FT ON THE SAILING LINE MM 791.1. B. MARINERS SHOULD TRANSIT WITH CAUTION AND ARE REQUESTED TO CONTACT CG WESTERN RIVERS VIA MARINE VHF-FM CH-16 OR VIA TELEPHONE AT 866-777-2784 TO REPORT SHOALING, HAZARDOUS CONDITIONS OR MISSING ATON.   BT"
Y,SEC LMR BNM 0107-22,9/24/2022 17:41,494.9,,LMR,"mid channel, off RDB",SHOALING HAS BEEN REPORTED IVO MM 494.9 LMR MID CHANNEL OFF THE GREEN BUOY LINE. MARINERS ARE REQUESTED TO TRANSIT THE AREA WITH EXTREME CAUTION.   CANCEL AT//081848Z OCT 22//  BT
Y,SEC LMR BNM 0110-22,9/26/2022 13:23,557,,LMR,"9ft deep mid channel, 300ft off RDB ",SHOALING HAS BEEN REPORTED IVO MM 557 LMR MID CHANNEL 300 FT OFF THE GREEN BUOY LINE AND IS ABOUT 9FT DEEP. MARINERS ARE REQUESTED TO TRANSIT THE AREA WITH EXTREME CAUTION.   CANCEL AT//101649Z OCT 22//  BT
Y,SEC LMR BNM 0114-22,10/3/2022 20:44,681.7,,LMR,mid channel,SHOALING HAS BEEN REPORTED IVO MM 681.7 LMR MID CHANNEL. MARINERS ARE REQUESTED TO TRANSIT THE AREA WITH EXTREME CAUTION.   CANCEL AT//180018Z OCT 22//  BT
Y,SEC LMR BNM 0118-22,10/22/2022 5:25,844.1,,LMR,"RDB, ""potential shoaling""",1. THE COAST GUARD RECIEVED A REPORT OF POTENTIAL SHOALING IVO MM 844.1 LMR ALONG RDB. ALL MARINERS ARE ADVISED TO TRANSIT THE AREA WITH CAUTION.  BT
Y,SEC LMR BNM 0120-22,10/26/2022 15:05,524.9,,LMR,"RDB, ""possible shoaling""",POSSIBLE SHOALING HAS BEEN REPORTED ALONG THE GREEN BUOY LINE AT MM 524.9 LMR RDB. MARINERS ARE REQUESTED TO TRANSIT THE AREA WITH CAUTION.BT
Y,SEC LMR BNM 0124-22,11/8/2022 20:38,791,,LMR,,A. THE CG HAS RECEIVED A REPORT OF SHOALING IN THE VICINITY OF MM 791 LMR. MARINERS ARE ADVISED TO TRANSIT THE AREA WITH CAUTION.  CANCEL AT//222356Z NOV 22//  BT
Y,SEC LMR BNM 0019-23,5/31/2023 15:59,779,,LMR,,A. CG RECIEVED A REPORT OF SHOALINF IVO MM 779 LMR. B. MARINERS ARE REQUESTED TO TRANSIT AREA WITH CAUTION. BT
Y,SEC LMR BNM 0046-23,8/5/2023 5:15,483,,LMR,,COAST GUARD RECEIVED A REPORT OF SHOALING IVO MM 483 LMR ALL MARINERES ARE ADVISED TO TRANSIT THE AREA WITH CAUTION.  BT
Y,SEC LMR BNM 0052-23,8/23/2023 17:34,538,,LMR,,A. SHOALING HAS BEEN REPORTED AT MM 538 LMR. MARINERS ARE ADVISED TO TRANSIT THE AREA WITH CAUTION. BT
Y,SEC LMR BNM 0057-23 UPDATE-1,9/12/2023 17:51,791,790.2,LMR,cross channel shoaling,"A. SHOALING HAS BEEN REPORTED IN THE FOLLOWING AREAS OF THE LMR:1. CROSS CHANNEL SHOALING, MM 791-790.2. MM 737.8-736, ALONG THE SAILING LINE.3. MM 710.5 LDB.4. MM 437.2 ALONG THE GREEN BUOY LINE.5. MM 437 RDB.B. MARINERS ARE ADVISED TO TRANSIT THESE AREAS WITH CAUTION. BT"
Y,SEC LMR BNM 0057-23 UPDATE-1,9/12/2023 17:51,737.8,736,LMR,along sailing line,"A. SHOALING HAS BEEN REPORTED IN THE FOLLOWING AREAS OF THE LMR:1. CROSS CHANNEL SHOALING, MM 791-790.2. MM 737.8-736, ALONG THE SAILING LINE.3. MM 710.5 LDB.4. MM 437.2 ALONG THE GREEN BUOY LINE.5. MM 437 RDB.B. MARINERS ARE ADVISED TO TRANSIT THESE AREAS WITH CAUTION. BT"
Y,SEC LMR BNM 0057-23 UPDATE-1,9/12/2023 17:51,710.5,,LMR,LDB,"A. SHOALING HAS BEEN REPORTED IN THE FOLLOWING AREAS OF THE LMR:1. CROSS CHANNEL SHOALING, MM 791-790.2. MM 737.8-736, ALONG THE SAILING LINE.3. MM 710.5 LDB.4. MM 437.2 ALONG THE GREEN BUOY LINE.5. MM 437 RDB.B. MARINERS ARE ADVISED TO TRANSIT THESE AREAS WITH CAUTION. BT"
Y,SEC LMR BNM 0057-23 UPDATE-1,9/12/2023 17:51,437.2,,LMR,RDB,"A. SHOALING HAS BEEN REPORTED IN THE FOLLOWING AREAS OF THE LMR:1. CROSS CHANNEL SHOALING, MM 791-790.2. MM 737.8-736, ALONG THE SAILING LINE.3. MM 710.5 LDB.4. MM 437.2 ALONG THE GREEN BUOY LINE.5. MM 437 RDB.B. MARINERS ARE ADVISED TO TRANSIT THESE AREAS WITH CAUTION. BT"
Y,SEC LMR BNM 0057-23 UPDATE-1,9/12/2023 17:51,437,,LMR,RDB,"A. SHOALING HAS BEEN REPORTED IN THE FOLLOWING AREAS OF THE LMR:1. CROSS CHANNEL SHOALING, MM 791-790.2. MM 737.8-736, ALONG THE SAILING LINE.3. MM 710.5 LDB.4. MM 437.2 ALONG THE GREEN BUOY LINE.5. MM 437 RDB.B. MARINERS ARE ADVISED TO TRANSIT THESE AREAS WITH CAUTION. BT"
Y,SEC LMR BNM 0059-23,9/19/2023 21:19,525,,LMR,LDB,SHOALING HAS BEEN REPORTED AT MM 525 LMR ALONG THE LDB. MARINERS ARE REQUESTED TO TRANSIT THE AREA WITH CAUTION.  BT
Y,SEC LMR BNM 0062-23,9/22/2023 19:21,620.9,,LMR,750ft off RDB,"A. SHOALING HAS BEEN REPORTED ON THE LMR IN THE FOLLOWING AREAS:1. MM 620.9, 750 FT OFF THE RDB2. MM 557.5, 250 FT OFF THE GREEN BUOY LINEB. MARINERS ARE ADVISED TO TRANSIT THESE AREAS WITH CAUTION. BT"
Y,SEC LMR BNM 0062-23,9/22/2023 19:21,557.5,,LMR,250ft off RDB,"A. SHOALING HAS BEEN REPORTED ON THE LMR IN THE FOLLOWING AREAS:1. MM 620.9, 750 FT OFF THE RDB2. MM 557.5, 250 FT OFF THE GREEN BUOY LINEB. MARINERS ARE ADVISED TO TRANSIT THESE AREAS WITH CAUTION. BT"
Y,SEC LMR BNM 0062-23 UPDATE-1,9/26/2023 8:59,484,487,LMR,RDB,"A. SHOALING HAS BEEN REPORTED ON THE LMR IN THE FOLLOWING AREAS:1. MM 620.9, 750 FT OFF THE RDB2. MM 557.5, 250 FT OFF THE GREEN BUOY LINE3. MM 484-487 ALONG THE GREEN BUOY LINE.B. MARINERS ARE ADVISED TO TRANSIT THE AREA WITH CAUTION. BT"
Y,SEC LMR BNM 0070-23,10/4/2023 11:50,589.4,,LMR,,1. POTENTIAL SHOALING HAS BEEN REPORTED AT MM 589.4 LMR.2. MARINERS ARE ADVISED TO TRANSIT THE AREA WITH CAUTION. BT
Y,SEC LMR BNM 0073-23,10/10/2023 20:19,816,,LMR,,1. ALL MARINERS ARE ADVISED THAT SHOALING HAS BEEN REPORTED AT MM 816 LMR. 2. MARINERS ARE ADVISED TO TRANSIT THE AREA WITH CAUTION. BT
Y,SEC LMR BNM 0074-23,10/13/2023 21:21,784.1,,LMR,mid channel,1. THE CG RECIEVED A REPORT OF SHOALING IVO MM 784.1 LMR MID-CHANNEL.2. MARINERS ARE ADVISED TO TRANSIT THE AREA WITH CAUTION.CANCEL AT//252200Z OCT 23// BT
Y,SEC LMR BNM 0075-23,10/15/2023 17:18,536,,LMR,LDB,A. THE COAST GUARD RECEIVED A REPORT OF SHOALING IVO MM 536 LMR LDB. MARINERS ARE ADVISED TO TRANSIT THE AREA WITH CAUTION. BT
Y,SEC LMR BNM 0074-23 UPDATE-1,10/17/2023 9:42,784.1,,LMR,mid channel ,A. THE CG HAS RECIEVED REPORTS OF SHOALING ON THE LMR IN THE FOLLOWING AREAS: 1. MM 784.1 LMR MID-CHANNEL2. MM 484 LMR RDB B. MARINERS ARE ADVISED TO TRANSIT THESE AREAS WITH CAUTION.CANCEL AT//251700Z OCT 23// BT
Y,SEC LMR BNM 0074-23 UPDATE-1,10/17/2023 9:42,484,,LMR,RDB,A. THE CG HAS RECIEVED REPORTS OF SHOALING ON THE LMR IN THE FOLLOWING AREAS: 1. MM 784.1 LMR MID-CHANNEL2. MM 484 LMR RDB B. MARINERS ARE ADVISED TO TRANSIT THESE AREAS WITH CAUTION.CANCEL AT//251700Z OCT 23// BT
Y,SEC LMR BNM 0074-23 UPDATE-2,10/18/2023 7:00,721,,LMR,LDB,MM 484 - 784.1 LMRA. THE CG HAS RECIEVED REPORTS OF SHOALING ON THE LMR IN THE FOLLOWING AREAS: 1. MM 784.1 LMR MID-CHANNEL2. MM 721 LMR LDB3. MM 639 LMR MID-CHANNEL2. MM 484 LMR RDB B. MARINERS ARE ADVISED TO TRANSIT THESE AREAS WITH CAUTION.CANCEL AT//252200Z OCT 23// BT
Y,SEC LMR BNM 0078-23,10/21/2023 10:41,704,,LMR,cross channel shoaling,"THE FOLLOWING HAZARDS TO NAVIGATION HAVE BEEN REPORTED ON THE LMR: 1. MM 704 LMR, SHOALING HAS BEEN CROSS CHANNEL 2. MM 639 LMR, A SUBMERGED OBJECT HAS BEEN REPROTED MID-CHANNEL 3. MM 523.1 LMR, SHOALING HAS BEEN REPORTED MID-CHANNEL B. MARINERS ARE ADVISED TO TRANSIT THESE AREAS WITH CAUTION  BT"
Y,SEC LMR BNM 0078-23,10/21/2023 10:41,523.1,,LMR,cross channel shoaling,"THE FOLLOWING HAZARDS TO NAVIGATION HAVE BEEN REPORTED ON THE LMR: 1. MM 704 LMR, SHOALING HAS BEEN CROSS CHANNEL 2. MM 639 LMR, A SUBMERGED OBJECT HAS BEEN REPROTED MID-CHANNEL 3. MM 523.1 LMR, SHOALING HAS BEEN REPORTED MID-CHANNEL B. MARINERS ARE ADVISED TO TRANSIT THESE AREAS WITH CAUTION  BT"
Y,SEC LMR BNM 0078-23 UPDATE-1,10/21/2023 20:11,332,,LMR,cross channel shoaling,"MM 704 - 332 LMRA. THE FOLLOWING HAZARDS TO NAVIGATION HAVE BEEN REPORTED ON THE LMR:1. MM 704 LMR, SHOALING HAS BEEN REPORTED CROSS CHANNEL2. MM 523.1 LMR, SHOALING HAS BEEN REPORTED MID-CHANNEL3. MM 332 LMR, SHOALING HAS BEEN REPORTED CROSS CHANNELB. MARINERS ARE ADVISED TO TRANSIT THESE AREAS WITH CAUTION.CANCEL AT//262200Z OCT 23// BT"
Y,SEC LMR BNM 0079-23,10/26/2023 10:59,484.1,,LMR,RDB,A. THE COAST GUARD HAS RECEIEVED REPORTS OF SHOALING IN THE FOLLOWING AREAS:1. MM 484.1 LMR RIGHT DESCENDING BANKB. MARINERS ARE ADVISED TO TRANSIT THE AREA WITH CAUTION.CANCEL AT//022200Z NOV 23// BT
Y,SEC LMR BNM 0089-23,12/20/2023 17:48,540.2,,LMR,150ft off LDB,A. SHOALING HAS BEEN REPORTED IN THE VICINITY OF MM 540.2 LMR APPROXIMATELY 150FT OFF OF THE RED BUOY LINE.B. ALL MARINERS ARE ADVISED TO TRANSIT THE AREA WITH CAUTION. BT
Y,SEC LMR BNM 0089-23 UPDATE-1,12/28/2023 11:19,663,,LMR,600ft off LDB,"A. SHOALING HAS BEEN REPORTED IN THE FOLLOWING LOCATIONS ALONG THE LOWERMISSISSIPPI RIVER:1. MM 663 LMR, SHOALING HAS BEEN REPORTED 600 FT OFF THE LDB.2. MM 540.2 LMR, SHOALING HAS BEEN REPORTED APPROXIMATELY 150 FT OFF THE REDBUOY LINE.B. ALL MARINERS ARE ADVISED TO TRANSIT THESE AREAS WITH CAUTION. BT"
