date_time_published_gmt,message_id,categories,mile_markers,river_name,mile_marker_min,mile_marker_max,geographic_area,originator,criticality,notes
2026-01-15 12:13:54,SEC LMR BNM 0002-26,shoaling,MM 538.7 LMR,MISSISSIPPI-LO,538.7,538.7,LOWER MISSISSIPPI RIVER,Lower Mississippi,SAFETY,1. WRCC received notification of possible shoaling at MM 538.7 LMR along the RDB.2. All mariners are advised to transit the area with caution. BT
2026-01-15 12:48:28,SEC LMR BNM 0002-26 UPDATE-1,shoaling,MM 538.7 LMR,MISSISSIPPI-LO,538.7,538.7,LOWER MISSISSIPPI RIVER,Lower Mississippi,UPDATE,1. WRCC received notification of possible shoaling at MM 538.7 LMR along the LDB.2. All mariners are advised to transit the area with caution BT
2026-01-20 19:32:34,SEC LMR BNM 0004-26,dredging,,,,,MCKELLAR LAKE,Lower Mississippi,SAFETY,"McKellar LakeDredge MIDWAY will be working IVO McKellar Lake near the west side of Treasure Island.The dredge pipeline will block traffic on the west side of Treasure Island until Thursday, 22JAN26.Dredge MIDWAY will pass traffic twice a day, noon to 1 pm and midnight to 1am.For any questions or concerns regarding the aforementioned dredge operations, please contact dredge MIDWAY on channel 13 or channel 71.BT"
2026-01-23 12:57:14,SEC LMR BNM 0003-26 UPDATE-1,draft restriction,MM 303-869;MM 869-585;MM 585-303;MM 869-303;LMR 303-869,MISSISSIPPI-LO,303.0,869.0,LOWER MISSISSIPPI RIVER,Lower Mississippi,UPDATE,"LMR 303-869Mariners be advised of MSIB 26-04 which updates low-water restrictions on January 23rd, 2026, for MM 303-869 on the LMR. They are as follows:For Southbound traffic MM 869-585:• Effective January 23, 2026, barge drafts shall not exceed 10'6"".• Barge configurations not to exceed 6 wide.For Southbound traffic MM 585-303:• Effective January 23, 2026, barge drafts shall not exceed 11'6"".• Barge configurations not to exceed 7 wide.For Northbound traffic MM 869-303:• Effective January 23, 2026, barge drafts shall not exceed 10'.• Barge configurations not to exceed 4 wide max on loads, 6 wide overall.• Barge configurations not to exceed 7 long overall.* All barges in transit will be clear to proceed prior to January 23, 2026.* BT"
2026-01-28 10:40:18,SEC LMR BNM 0007-26,draft restriction,MM 303-869;MM 869-585;MM 585-303;MM 869-303;LMR 303-869,MISSISSIPPI-LO,303.0,869.0,LMR,Lower Mississippi,SAFETY,"LMR 303-869Mariners be advised of MSIB 26-05 which updates low-water restrictions on January 28th, 2026, for MM 303-869 on the LMR. They are as follows:For Southbound traffic MM 869-585:Barge drafts not to exceed 11'6"".Barge configurations not to exceed 6 wide.For Southbound traffic MM 585-303:Barge drafts not to exceed 11'6"".Barge configurations not to exceed 7 wide.For Northbound traffic MM 869-303:Barge drafts shall not exceed 10'.Barge configurations not to exceed 4 wide max on loads, 6 wide overall.Barge configurations not to exceed 7 long overall. BT"
2026-01-29 18:01:28,SEC LMR BNM 0008-26,draft restriction,MM 303-869;MM 869-303,MISSISSIPPI-LO,303.0,869.0,LOWER MISSISSIPPI RIVER,Lower Mississippi,SAFETY,"Mariners be advised of MSIB 26-06 which updates low-water restrictions on January 30th, 2026, for MM 303-869 on the LMR. They are as follows:For Southbound traffic MM 869-303:Barge drafts not to exceed 11'6"".Barge configurations not to exceed 7 wide.For Northbound traffic MM 869-303:Barge drafts shall not exceed 10'6"".Barge configurations not to exceed 5 wide max on loads, 7 wide overall.Barge configurations not to exceed 7 long overall. BT"
2026-02-05 14:01:29,SEC LMR BNM 0009-26,draft restriction,MM 303-869;MM 869-585;MM 585-303;MM 869-303,MISSISSIPPI-LO,303.0,869.0,LMR,Lower Mississippi,SAFETY,"Mariners be advised that MSIB 26-07 updates low-water restrictions on February 8th, 2026, for MM 303-869 on the LMR. They are as follows:For Southbound traffic MM 869-585:Barge drafts not to exceed 10'6"".Barge configurations not to exceed 6 wide.For Southbound traffic MM 585-303:Barge drafts not to exceed 11'6"".Barge configurations not to exceed 7 wide.For Northbound traffic MM 869-303:Barge drafts shall not exceed 10'6"".Barge configurations not to exceed 5 wide max on loads, 7 wide overall.Barge configurations not to exceed 7 long overall. BT"
2026-02-09 12:21:17,SEC LMR BNM 0011-26,dredging,,,,,LMR,Lower Mississippi,SAFETY,"1.DREDGE MIDWAY WILL BE WORKING IVO AMRIZE DOCK ON MCKELLAR LAKE, NEAR THE WEST SIDE OF TREASURE ISLAND. WORK WILL BE FROM FEBRUARY 9TH THROUGH 12TH AND THE CHANNEL WILL BE BLOCKED DURING OPERATIONS.2.TRAFFIC WILL BE PERMITTED TO PASS DAILY FROM NOON TO 1PM AND MIDNIGHT TO 1AM.3.DREDGE MIDWAY CAN BE CONTACTED ON VHF CHANNEL 13 OR 71.4.CANCEL AT TIME// 130800 FEB 26//.CANCEL AT//130800Z FEB 26// BT"
2026-02-11 20:57:40,SEC LMR BNM 0012-26,shoaling,MM 603 LMR,MISSISSIPPI-LO,603.0,603.0,LOWER MISSISSIPPI RIVER,Lower Mississippi,SAFETY,"1. MARINERS BE ADVISED. SHOALING HAS BEEN REPORTED 400 FEET OF GREEN BUOY LINE AT MM 603 LMR, NEAR THE RDB.2. ALL MARINERS ARE ADVISED TO PROCEED WITH CAUTION WHILE TRANSITING THE AREA. FOR QUESTIONS OR CONCERNS PLEASE CONTACT WESTERN RIVERS COMMAND CENTER AT 1-866-360-3386. BT"
2026-02-12 16:06:49,SEC LMR BNM 0015-26,draft restriction,MM 303-869;MM 869-303,MISSISSIPPI-LO,303.0,869.0,LMR MM 303-869,Lower Mississippi,SAFETY,"Mariners be advised that MSIB 26-08 updates low-water restrictions on February 15th, 2026, for MM 303-869 on the LMR. They are as follows:For Southbound traffic MM 869-303:Barge drafts not to exceed 11'6"".Barge configurations not to exceed 7 wide.For Northbound traffic MM 869-303:Barge drafts shall not exceed 10'6"".Barge configurations not to exceed 5 wide max on loads, 7 wide overall.Barge configurations not to exceed 7 long overall. BT"
2025-10-02 17:08:40,SEC LMR BNM 0071-25 UPDATE-4,draft restriction,MM 303-869;MM869;MM585;MM 585;MM 303;MM 869,MISSISSIPPI-LO,303.0,869.0,LOWER MISSISSIPPI RIVER,Lower Mississippi,UPDATE,"MM 303-869 LMR1. Mariners be advised that MSIB 25-14 has initiated low-water restrictions starting on September 19nd, 2025, for MM 303-869 on the LMR.2. Southbound tows between MM869 to MM585 shall have:A. Barge drafts no greater than 11'6"".B. Barges configured no more than 7 wide.3. Southbound tows between MM 585 to MM 303 shall have:A. Barges configured no more than 7 wide.4. Northbound tows between MM 303 to MM 869 shall have:A. Barge drafts no greater than 11'.B. Barges configured no more than 6 wide.C. Barges configured no more than 5 wide for max on loads.D. Barges configured no more than 7 long.5. Mariners are requested to contact Sector Lower Mississippi River Waterways Management Division at (901) 208-0311 or the Western Rivers Command Center on Ch-16 VHF for further information or report any concerns. BT"
2025-10-12 12:21:41,SEC LMR BNM 0085-25,dredging,MM 539-541;MM 539 - 541,MISSISSIPPI-LO,539.0,541.0,LOWER MISSISSIPPI RIVER,Lower Mississippi,SAFETY,"MM 539-5411.MARINERS ARE ADVISED THAT US ARMY CORPS OF ENGINEERS DREDGE VESSEL JADWIN WILL BE CONDUCTING DREDGING OPERATIONS ON THE LMR MM 539 - 541, STARTING AT 0800 ON 12 OCTOBER 2025 AND ENDING AT 1200 ON 13 OCTOBER 2025.2. NO VESSELS WILL BE PERMITTED TO PASS DURING THIS TIME. MARINERS ARE REQUESTED TO CONTACT DREDGE JADWIN ON CHANNEL VHF-FM CH-13 TO BE ADDED TO THE VESSEL QUE.BT BT"
2025-10-13 13:19:48,SEC LMR BNM 0085-25 UPDATE-1,dredging,MM 539-541;MM 539 - 541,MISSISSIPPI-LO,539.0,541.0,LOWER MISSISSIPPI RIVER,Lower Mississippi,UPDATE,"MM 539-5411.MARINERS ARE ADVISED THAT US ARMY CORPS OF ENGINEERS DREDGE VESSEL JADWIN WILL BE CONDUCTING DREDGING OPERATIONS ON THE LMR MM 539 - 541, STARTING AT 0800 ON 12 OCTOBER 2025 AND ENDING AT 1800 ON 13 OCTOBER 2025.2. NO VESSELS WILL BE PERMITTED TO PASS DURING THIS TIME. MARINERS ARE REQUESTED TO CONTACT DREDGE JADWIN ON CHANNEL VHF-FM CH-13 TO BE ADDED TO THE VESSEL QUE.BT"
2025-10-14 01:45:45,SEC LMR BNM 0086-25,shoaling,MM 319,MISSISSIPPI-LO,319.0,319.0,LMR,Lower Mississippi,SAFETY,P R 140127Z OCT 25FM COMCOGARD SECTOR LOWER MISSISSIPPI RIVER MEMPHIS TNTO CCGDEIGHT NEW ORLEANS LAINFO COGARD ANT COLFAX LACOGARD NAVCEN ALEXANDRIA VANGA NAVSAFETY WASHINGTON DCUSCGC CHENAUSCGC GREENBRIERUSCGC KANAWHAUSCGC KANKAKEEUSCGC KICKAPOOUSCGC MUSKINGUMUSCGC PATOKABTUNCLASSUBJ: SAFETY BROADCAST NOTICE TO MARINERSSEC LMR BNM 086-25LMR MM 3191. COAST GUARD RECEIVED A REPORT OF SHOALING IN THE VICINITY OF MM 319 ON THE LMR ALONG THE RIGHT DESCENDING SIDE.2.ALL MARINERS ARE REQUESTED TO TRANSIT THE AREA WITH CAUTION. BT
2025-10-14 10:55:37,SEC LMR BNM 0087-25,dredging,MM 538-543,MISSISSIPPI-LO,538.0,543.0,LOWER MISSISSPPI RIVER,Lower Mississippi,SAFETY,"MM 538-543 LMR1. MARINERS ARE ADVISED THAT US ARMY CORPS OF ENGINEERS DREDGE VESSEL JADWIN WILL BE CONDUCTING DREDGING OPERATIONS IVO LMR MM 538-543 ON OCTOBER 14TH AT 0900.2. ALL TRAFFIC WILL BE STOPPED UNTIL OCTOBER 15TH AT 1800.3. ALL MARINERS TRANSITTING THE AREA SHALL CONTACT DREDGE JADWIN VIA TELEPHONE AT 601-618-2157 OR MARINE VHF-FM ON CH-13 TO BE PLACED IN THE QUEUE.4. DREDGE JADWIN WILL COORDINATE QUEUE CLEARING AT THE CONCLUSION OF THE CLOSURE.5. UPON APPROVAL TO TRANSIT, MARINERS ARE REQUESTED TO TRANSIT THE AREA AT SAFE SPEED AND TO PROCEED WITH CAUTION AFTER MAKING PASSING ARRANGEMENTS WITH DREDGE JADWIN.BT BT"
2025-10-23 12:49:00,SEC LMR BNM 0091-25,dredging,MM 709 - 712;MM 709-712,MISSISSIPPI-LO,709.0,712.0,LOWER MISSISSIPPI RIVER,Lower Mississippi,SAFETY,"LMR MM 709 - 7121. MARINERS ARE ADVISED THAT US ARMY CORPS OF ENGINEERS DREDGE VESSEL JADWIN WILL BE CONDUCTING DREDGING OPERATIONS IVO LMR MM 709-712 ON OCTOBER 23rd AT 12PM.2. ALL TRAFFIC WILL BE STOPPED UNTIL OCTOBER 24TH AT 6PM.3. ALL MARINERS TRANSITTING THE AREA SHALL CONTACT DREDGE JADWIN VIA TELEPHONE AT 601-618-2157 OR MARINE VHF-FM ON CH-13 TO BE PLACED IN THE QUEUE.4. DREDGE JADWIN WILL COORDINATE QUEUE CLEARING AT THE CONCLUSION OF THE 30 HOUR PERIOD.5. UPON APPROVAL TO TRANSIT, MARINERS ARE REQUESTED TO TRANSIT THE AREA AT SAFE SPEED AND TO PROCEED WITH CAUTION AFTER MAKING PASSING ARRANGEMENTS WITH DREDGE JADWIN.BT B"
2025-10-24 19:41:07,SEC LMR BNM 0092-25,shoaling,MM 518;MM 518 LMR,MISSISSIPPI-LO,518.0,518.0,LOWER MISSISSIPPI RIVER,Lower Mississippi,SAFETY,LMR MM 5181. COAST GUARD RECEIVED REPORT OF SHOALING AT MM 518 LMR BY THE RIGHT DESCENDING BANK.2. ALL MARINERS ARE ADVISIED TO TRANSIT THE AREA WITH CAUTION AND FAVOR THE LEFT DESCENDING BANK.3. VIRTUAL BUOYS HAVE BEEN ADDED TO CHARTS BY OCT 26TH. BT
2025-11-01 12:39:34,SEC LMR BNM 0096-25,dredging,,,,,LOWER MISSISSIPPI RIVER,Lower Mississippi,SAFETY,"1. THERE WILL BE DREDGING OPERATIONS TAKING PLACE ON THE LOWER MISSSISSIPPI RIVER IVOMM 652 STARTING NOVEMBER 1, 2025, THROUGH NOVEMBER 16, 2025.2. MARINERS CAN CONTACT DREDGE MIDWAY ON CHANNEL 13 OR 71.3. MARINERS ARE ADVISED TO TRANSIT THE AREA WITH CAUTION. BT"
2025-11-24 13:28:25,SEC LMR BNM 0110-25,dredging,MM 736 LMR,MISSISSIPPI-LO,736.0,736.0,LMR,Lower Mississippi,SAFETY,"1. THE DREDGE MIDWAY WILL BE DISCHARGING SPOILS AT MM 736 LMR ON THE LEFT DESCENDING BANK, 24 HOURS A DAY UNTIL 30 NOVEMBER 2025.2. MARINERS CAN CONTACT DREDGE MIDWAY ON CHANNEL 13 OR 71.3. MARINERS ARE ADVISED TO TRANSIT THE AREA WITH CAUTION."
2025-11-30 12:18:30,SEC LMR BNM 0111-25,shoaling,MM 521.8,MISSISSIPPI-LO,521.8,521.8,LOWER MISSISSIPPI RIVER,Lower Mississippi,SAFETY,1. Mariners be advised of shoaling reported along the green buoy line at LMR MM 521.8. BT
2025-12-01 15:45:33,SEC LMR BNM 0110-25 UPDATE-1,dredging,MM 736 LMR,MISSISSIPPI-LO,736.0,736.0,LMR,Lower Mississippi,UPDATE,"1. THE DREDGE MIDWAY WILL BE DISCHARGING SPOILS AT MM 736 LMR ON THE LEFT DESCENDING BANK, 24 HOURS A DAY UNTIL 10 DECEMBER 2025.2. MARINERS CAN CONTACT DREDGE MIDWAY ON CHANNEL 13 OR 71.3. MARINERS ARE ADVISED TO TRANSIT THE AREA WITH CAUTION. BT"
2025-09-01 10:23:58,SEC LMR BNM 0071-25,draft restriction,MM 303-869;MM869;MM585;MM 585;MM 303;MM 869,MISSISSIPPI-LO,303.0,869.0,LOWER MISSISSIPPI RIVER,Lower Mississippi,SAFETY,"MM 303-869 LMR1. Mariners be advised that MSIB 25-12 has initiated low-water restrictions starting on September 2nd, 2025, for MM 303-869 on the LMR.2. Southbound tows between MM869 to MM585 shall have:A. Barge drafts no greater than 11'6"".B. Barges configured no more than 7 wide.3. Southbound tows between MM 585 to MM 303 shall have:A. Barges configured no more than 7 wide.4. Northbound tows between MM 303 to MM 869 shall have:A. Barge drafts no greater than 11'.B. Barges configured no more than 6 wide.C. Barges configured no more than 5 wide for max on loads.D. Barges configured no more than 7 long.5. Mariners are requested to contact Sector Lower Mississippi River Waterways Management Division at (901) 208-0311 or the Western Rivers Command Center on Ch-16 VHF for further information or report any concerns.BT"
2025-09-05 10:01:09,SEC LMR BNM 0071-25 UPDATE-1,draft restriction,MM 303-869;MM869;MM585;MM 585;MM 303;MM 869,MISSISSIPPI-LO,303.0,869.0,LOWER MISSISSIPPI RIVER,Lower Mississippi,UPDATE,"1. Mariners be advised that MSIB 25-12 has initiated low-water restrictions starting on September 2nd, 2025, for MM 303-869 on the LMR.2. Southbound tows between MM869 to MM585 shall have:A. Barge drafts no greater than 11'6"".B. Barges configured no more than 7 wide.3. Southbound tows between MM 585 to MM 303 shall have:A. Barges configured no more than 7 wide.4. Northbound tows between MM 303 to MM 869 shall have:A. Barge drafts no greater than 11'.B. Barges configured no more than 6 wide.C. Barges configured no more than 5 wide for max on loads.D. Barges configured no more than 7 long.5. Mariners are requested to contact Sector Lower Mississippi River Waterways Management Division at (901) 208-0311 or the Western Rivers Command Center on Ch-16 VHF for further information or report any concerns.BT"
2025-09-12 15:12:56,SEC LMR BNM 0071-25 UPDATE-2,draft restriction,MM 303-869;MM 869;MM 483;MM 303,MISSISSIPPI-LO,303.0,869.0,LOWER MISSISSIPPI RIVER,Lower Mississippi,UPDATE,"MM 303-869Mariners be advised that MSIB 25-14 has initiated low-water restrictions starting on September 15th, 2025, for MM 303-869 on the LMR. The restrictions are as follows:Southbound tows between MM 869 to MM 483 shall have:Barge drafts no greater than 10' 6"".Barges configured no more than 6 wide.Southbound tows between MM 483 to MM 303 shall have:Barge drafts no greater than 11'.Barges configured no more than 6 wide.Northbound tows between MM 303 to MM 869 shall have:Barge drafts no greater than 10'.Barges configured no more than 4 wide for max on loads, 6 wide overall.Barges configured no more than 7 long.BT BT"
2025-09-17 16:31:18,SEC LMR BNM 0077-25,dredging,MM 708 - 712;MM 708-712.2,MISSISSIPPI-LO,708.0,712.2,LOWER MISSISSIPPI RIVER,Lower Mississippi,SAFETY,LMR MM 708 - 7121. MARINERS ARE ADVISED THAT US ARMY CORPS OF ENGINEERS DREDGE VESSEL JADWIN WILL BE CONDUCTING DREDGING OPERATIONS MM 708-712.2. ALL TRAFFIC WILL BE STOPPED FROM 1500 SEP17 TO 1800 SEP18.3. DREDGE JADWIN CAN BE CONTACTED ON CHANNEL VHF-FM CH-13BT BT
2025-09-18 14:16:42,SEC LMR BNM 0071-25 UPDATE-3,draft restriction,MM 303-869;MM 869;MM 483;MM 303,MISSISSIPPI-LO,303.0,869.0,LOWER MISSISSIPPI RIVER,Lower Mississippi,UPDATE,"MM 303-869Mariners be advised that MSIB 25-14 has initiated low-water restrictions starting on September 19th, 2025, for MM 303-869 on the LMR. The restrictions are as follows:Southbound tows between MM 869 to MM 483 shall have:Barge drafts no greater than 10'.Barges configured no more than 6 wide.Southbound tows between MM 483 to MM 303 shall have:Barge drafts no greater than 10'6"".Barges configured no more than 6 wide.Northbound tows between MM 303 to MM 869 shall have:Barge drafts no greater than 9'6"".Barges configured no more than 4 wide for max on loads, 6 wide overall.Barges configured no more than 7 long. BT"
2025-09-23 12:19:44,SEC LMR BNM 0079-25,dredging,MM 753 - 758,MISSISSIPPI-LO,753.0,758.0,LOWER MISSISSIPPI RIVER,Lower Mississippi,SAFETY,"LMR MM 753 - 7581. MARINERS ARE ADVISED THAT US ARMY CORPS OF ENGINEERS DREDGE VESSEL JADWIN WILL BE CONDUCTING DREDGING OPERATIONS ON THE LMR MM 753 - 758, FOR 30 HOURS STARTING AT 1200 ON 23 SEPTEMBER 2025 AND ENDING AT 1800 ON 24 SEPTEMBER 2025.2. NO VESSELS WILL BE PERMITTED TO PASS DURING THIS TIME. MARINERS ARE REQUESTED TO CONTACT DREDGE JADWIN ON CHANNEL VHF-FM CH-13 TO BE ADDED TO THE VESSEL QUE.BT BT"
2025-09-23 12:19:20,SEC LMR BNM 0078-25,shoaling,MM 0.0;MM .04,WHITE,0.0,4.0,LOWER MISSISSIPPI RIVER,Lower Mississippi,SAFETY,WHITE RIVER MM 0.041.COAST GUARD RECIEVED A REPORT OF SHOALING IVO OF MM .04 ON THE WHITE RIVER.2. MARINERS ARE URGED TO TRANSIT THE AREA WITH CAUTION.BT BT
2025-07-02 12:22:15,SEC LMR BNM 0032-25,shoaling,MM 19 ARK,ARKANSAS,19.0,19.0,MM 19 ARK,Lower Mississippi,SAFETY,"1. THERE IS POTENTIAL SHOALING NEAR MM 19 ARK, MARINERS ARE REQUESTED TO TRANSIT THE AREA WITH CAUTION.BT"
2025-07-07 04:24:35,SEC LMR BNM 0033-25,shoaling,MM 74.5 RED,RED,74.5,74.5,RED RIVER,Lower Mississippi,SAFETY,"ARKANSAS RIVERMM 74.5 RED RIVER1. THERE IS POTENTIAL SHOALING IVO LOCK AND DAM #2 AT MM 74.5 RED, MARINERS ARE REQUESTED TO TRANSIT THE AREA WITH CAUTION.BT#0001NNNN BT"
2025-07-07 15:26:13,SEC LMR BNM 0035-25,draft restriction,MM 75 RED,RED,75.0,75.0,RED,Lower Mississippi,SAFETY,MM 75 RED RIVER1. Mariners be advised Red River Lock & Dam #2 has lost the 9' draft and is open to barges light loaded to 8' or less at this time.BT
2025-07-07 15:16:41,SEC LMR BNM 0034-25,shoaling,MM 221-222,ARKANSAS,221.0,222.0,ARK,Lower Mississippi,SAFETY,"ARKANSAS RIVERMM 221-222 ARKANSAS RIVER1. THERE IS POTENTIAL SHOALING IVO MM 221-222, MID CHANNEL, MARINERS ARE REQUESTED TO TRANSIT THE AREA WITH CAUTION.BT"
2025-07-10 17:32:38,SEC LMR BNM 0036-25,dredging,MM 785,MISSISSIPPI-LO,785.0,785.0,LMR,Lower Mississippi,SAFETY,"1. THERE WILL BE DREDGING OPERATIONS TAKING PLACE ON THE LOWER MISSSISSIPPI RIVER AT MM 785, STARTING JULY 10, 2025, UNTIL SATURDAY, JULY 19, 2025.2. MARINERS CAN CONTACT DREDGE MIDWAY ON CHANNEL 13 OR 71.3. MARINERS ARE URGED TO TRANSIT AT THEIR SLOWEST SAFE SPEED TO MINIMIZE WAKE AND PROCEED WITH CAUTION AFTER PASSING ARRANGEMENTS HAVE BEEN MADE. BT"
